Leader,Civ,Leader Tags,Leader Bonus,Leader Agenda
Alexander,Macedonian,War,To World's End:Cities do not incur war weariness. All military units heal completely when this player captures a city with a world wonder.,Short Life of Glory:Likes civilizations at war with powers other than Macedon. Has disdain for civilizations at peace.
Amanitore,Nubian,,Kandake of Meroë:+20% Production towards all district rising to +40% if there is a Nubian Pyramid adjacent to the City Center.,City Planner:Tries to keep the maximum number of districts in each city and likes civilizations who match that approach. Dislikes civilizations that don't build as many districts as possible in their cities.
Catherine de Medici,French,Culture,Catherine's Flying Squadron:Has 1 level of Diplomatic Visibility greater than normal with every civilization that she's met. Receives a free Spy(and extra spy capacity) with the Castles technology. All spies start as Agents with a free promotion.,"Black Queen:Gains as many Spies and as much diplomatic access as possible, and likes those who do the same. Dislikes civilizations that ignore espionage activities and have little diplomatic access."
Chandragupta,Indian,War; Religion,Arthashastra:Can declare a War of Territorial Expansion after gaining the Military Training Civic. +2 Movement and +5 Combat Strength for the first 10 turns after declaring a War of Territorial Expansion.,Maurya Empire:Dislikes civilizations that have cities close to his borders and will try to conquer them. Likes civilizations that are not his neighbors.
Cleopatra,Egyptian,Economy; Religion,Mediterranean's Bride:Your Trade Routes to other civilizations provide +4 Gold for Egypt. Other civilizations' Trade Routes to Egypt provide +2 Food for them and +2 Gold for Egypt. Trading with Allies earns twice as many bonus Alliance Points.,"Queen of the Nile:Likes civilizations with powerful militaries, and will try to ally with them to avoid conflict. Dislikes civilizations with weak militaries."
Cyrus,Persian,War; Culture,Fall Of Babylon:+2 Movement for the first 10 turns after declaring a Surprise War on a major civilzation. +5 Loyalty per turn in occupied cities with a garrisoned unit. Declaring a Surprise War only counts as a Formal War for the purposes of Grievances and warmongering.,"Opportunist:Will often declare Suprise Wars, and likes civilizations that do the same. Dislikes civilizations who do not use Suprise War declarations."
Dido,Phoenician,Economy,Founder Of Carthage:Can move their original Capital to any city with a Cothon they founded by completing a unique project in that city. +1 Trade Route capacity for each Government Plaza building and the Government Plaza district. +50% Production towards districts in the city with the Government Plaza.,"Sicilian Wars:Wants ot settle coastal cities, and likes civilizations that settle inland. Dislikes civilizations with many coastal cities"
Eleanor of Aquitaine,English,Economy,Court of Love:Great Works in Eleanor's cities each cause -1 Loyalty per turn in foreign cities within 9 tiles. A city that leaves another civilization due to a loss of Loyalty and is currently receiving the most Loyalty per turn from Eleanor's civilization skips the Free City step to join this civilization.,"Angevin Empire:Builds up the Population of her cities, and likes likes those whose nearby cities also have a high Population. Dislikes civilizations whose nearby cities have low Population."
Eleanor of Aquitaine,French,Economy,Court of Love:Great Works in Eleanor's cities each cause -1 Loyalty per turn in foreign cities within 9 tiles. A city that leaves another civilization due to a loss of Loyalty and is currently receiving the most Loyalty per turn from Eleanor's civilization skips the Free City step to join this civilization.,"Angevin Empire:Builds up the Population of her cities, and likes likes those whose nearby cities also have a high Population. Dislikes civilizations whose nearby cities have low Population."
Frederick Barbarossa,German,War,Holy Roman Emperor:Additional Military policy slot. +7 Combat Strength when attacking city-states.,"Iron Crown:Will try to conquer city-states, and likes civilizations who do not associate with them. Dislikes Suzerains of city-states, or civilizations who have conquered city-states."
Gandhi,Indian,Religion,Satyagraha:+5 Faith for each civilzation(including India) they have met that has founded a Religion and is not currently at war. Opposing civilizations receive double the war weariness fighting against Gandhi.,"Peacekeeper:Never declares wars for which he can be branded a warmonger, and will try to befriend those who maintain the peace. Hates warmongers."
Genghi Khan,Mongolian,War,Mongol Horde:All cavalry class units gain +3 Combat Strength and a chance to capture defeated enemy cavalry class units.,"Horse Lord:Builds a strong cavalry force, and likes those who do not compete in cavalry. Dislikes civilizations who rival him in cavalry strength."
Gilgamesh,Sumerian,Science,"Adventures of Enkidu:When at war with a common foe, they and their allies share pillage rewards and share combat experience gains if within 5 tiles. Their Alliances gain Alliance Points for being at war with a common foe.","Ally of Enkidu:Is easy to befriend, and likes civilizations who are his Declared Friends. Dislikes anyone denouncing or attacking his friends."
Gitarja,Indonesian,,Exalted Goddes Of The Three Worlds:May purchase naval units with Faith. Religious units pay no movement cost to embark or disembark. City Centers adjacent to Coast or Lake tiles gain +2 Faith.,Archipelagic State:Likes civilizations who avoid settling or conquering cities on small landmasses. Hates anyone with numerous cities on such islands.
Gorgo,Greek,Culture,Thermopylae:Combat victories provide Culture equal to 50% of the Combat Strength of the defeated unit.,"With Your Shield Or On It:Never gives up items in a peace deal, and likes civilizations who match that approach. Dislikes civilizations who have capitulated or who have never gone to war."
Harald Hardrada,Norwegian,War,"Thunderbolt Of The North:Allows coastal raiding for all naval melee units and +50% Production toward all naval melee units. Receive Science from pillaging and coastal raiding Mines in addition to Gold. Pillaging or coastal raiding Quarries, Pastures, Plantations, and Camps provides Culture in addition to Faith. Gian the Viking Longship unique unit with Sailing.","Last Viking King:Builds a strong navy, and likes civilizations who do the same. Dislikes civilizations with a weak navy."
